,Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 65
78,Gabon,GAB,1084946.0,1112955.0,1141338.0,1170061.0,1199052.0,1228360.0,1258003.0,1288315.0,1319953.0,1353795.0,1390549.0,1430152.0,1472575.0,1518540.0,1568928.0,1624140.0,1684635.0,1749682.0,1817071.0,1883800.0,1947686.0,2007873.0,2064823.0,2119275.0,
79,United Kingdom,GBR,58019030.0,58166950.0,58316954.0,58487141.0,58682466.0,58892514.0,59119673.0,59370479.0,59647577.0,59987905.0,60401206.0,60846820.0,61322463.0,61806995.0,62276270.0,62766365.0,63258810.0,63700215.0,64128273.0,64602298.0,65116219.0,65611593.0,66058859.0,66460344.0,
80,Georgia,GEO,4657722.0,4491699.0,4349913.0,4243607.0,4157192.0,4077131.0,4014373.0,3978515.0,3951736.0,3927340.0,3902469.0,3880347.0,3860158.0,3848449.0,3814419.0,3786695.0,3756441.0,3728874.0,3717668.0,3719414.0,3725276.0,3727505.0,3728004.0,3726549.0,
81,Ghana,GHA,17014057.0,17462496.0,17908985.0,18357156.0,18812359.0,19278856.0,19756928.0,20246381.0,20750299.0,21272323.0,21814642.0,22379055.0,22963946.0,23563825.0,24170940.0,24779619.0,25387710.0,25996449.0,26607642.0,27224472.0,27849205.0,28481946.0,29121471.0,29767108.0,
82,Gibraltar,GIB,28692.0,28971.0,29408.0,29947.0,30529.0,31077.0,31602.0,32102.0,32555.0,32928.0,33219.0,33417.0,33517.0,33559.0,33565.0,33585.0,33612.0,33646.0,33692.0,33725.0,33736.0,33737.0,33728.0,33718.0,
83,Guinea,GIN,7269625.0,7463782.0,7662075.0,7860781.0,8054743.0,8240730.0,8417081.0,8586074.0,8753093.0,8925743.0,9109581.0,9307425.0,9518162.0,9738792.0,9964469.0,10192176.0,10420471.0,10652029.0,10892810.0,11150977.0,11432088.0,11738441.0,12067539.0,12414318.0,
84,"Gambia, The",GMB,1128575.0,1164091.0,1200526.0,1238125.0,1277133.0,1317703.0,1360074.0,1404261.0,1449925.0,1496527.0,1543741.0,1591445.0,1639848.0,1689285.0,1740279.0,1793196.0,1848147.0,1905011.0,1963711.0,2024042.0,2085860.0,2149139.0,2213894.0,2280102.0,
85,Guinea-Bissau,GNB,1088854.0,1110833.0,1132510.0,1154371.0,1177131.0,1201301.0,1227106.0,1254453.0,1283305.0,1313492.0,1344930.0,1377581.0,1411543.0,1446936.0,1483921.0,1522599.0,1562989.0,1604979.0,1648257.0,1692439.0,1737202.0,1782437.0,1828146.0,1874309.0,
86,Equatorial Guinea,GNQ,496768.0,515853.0,536460.0,558492.0,581770.0,606181.0,631666.0,658384.0,686664.0,716949.0,749535.0,784496.0,821687.0,860840.0,901599.0,943639.0,986853.0,1031191.0,1076413.0,1122276.0,1168568.0,1215179.0,1262001.0,1308974.0,
87,Greece,GRC,10562153.0,10608800.0,10661259.0,10720509.0,10761698.0,10805808.0,10862132.0,10902022.0,10928070.0,10955141.0,10987314.0,11020362.0,11048473.0,11077841.0,11107017.0,11121341.0,11104899.0,11045011.0,10965211.0,10892413.0,10820883.0,10775971.0,10754679.0,10732882.0,
88,Grenada,GRD,100288.0,101001.0,101567.0,102021.0,102432.0,102833.0,103249.0,103634.0,104005.0,104347.0,104661.0,104933.0,105190.0,105456.0,105789.0,106233.0,106796.0,107446.0,108170.0,108902.0,109599.0,110261.0,110874.0,111454.0,
89,Greenland,GRL,55800.0,55900.0,56000.0,56100.0,56100.0,56200.0,56350.0,56609.0,56765.0,56911.0,56935.0,56774.0,56555.0,56328.0,56323.0,56905.0,56890.0,56810.0,56483.0,56295.0,56114.0,56186.0,56172.0,56023.0,
90,Guatemala,GTM,10286786.0,10536942.0,10788362.0,11046215.0,11311078.0,11589761.0,11871565.0,12147518.0,12415334.0,12682108.0,12948292.0,13213330.0,13477017.0,13739299.0,14000190.0,14259687.0,14521515.0,14781942.0,15043981.0,15306316.0,15567419.0,15827690.0,16087418.0,16346950.0,
91,Guam,GUM,145561.0,148060.0,150303.0,152277.0,153953.0,155329.0,156401.0,157176.0,157717.0,158101.0,158402.0,158648.0,158847.0,159036.0,159226.0,159444.0,159692.0,159996.0,160407.0,161016.0,161853.0,162951.0,164281.0,165768.0,
92,Guyana,GUY,761291.0,760795.0,757970.0,753778.0,749674.0,746715.0,745206.0,744789.0,745143.0,745737.0,746163.0,746343.0,746474.0,746817.0,747718.0,749436.0,752028.0,755399.0,759285.0,763380.0,767432.0,771366.0,775221.0,779004.0,
94,"Hong Kong SAR, China",HKG,6156100.0,6435500.0,6489300.0,6543700.0,6606500.0,6665000.0,6714300.0,6744100.0,6730800.0,6783500.0,6813200.0,6857100.0,6916300.0,6957800.0,6972800.0,7024200.0,7071600.0,7150100.0,7178900.0,7229500.0,7291300.0,7336600.0,7391700.0,7451000.0,
95,Honduras,HND,5709014.0,5874809.0,6045699.0,6220406.0,6397151.0,6574509.0,6751912.0,6929265.0,7106319.0,7282953.0,7458985.0,7634298.0,7808518.0,7980955.0,8150775.0,8317470.0,8480671.0,8640691.0,8798521.0,8955589.0,9112916.0,9270795.0,9429013.0,9587522.0,
97,Croatia,HRV,4620030.0,4557097.0,4534920.0,4532135.0,4512597.0,4468302.0,4299642.0,4302174.0,4303399.0,4304600.0,4310145.0,4311159.0,4310217.0,4309705.0,4305181.0,4295427.0,4280622.0,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,4087843.0,
98,Haiti,HTI,7744503.0,7887304.0,8030726.0,8174680.0,8319057.0,8463806.0,8608819.0,8754150.0,8900104.0,9047077.0,9195288.0,9344785.0,9495328.0,9646580.0,9798046.0,9949322.0,10100320.0,10250930.0,10400673.0,10549008.0,10695542.0,10839970.0,10982366.0,11123176.0,
99,Hungary,HUN,10328965.0,10311238.0,10290486.0,10266570.0,10237530.0,10210971.0,10187576.0,10158608.0,10129552.0,10107146.0,10087065.0,10071370.0,10055780.0,10038188.0,10022650.0,10000023.0,9971727.0,9920362.0,9893082.0,9866468.0,9843028.0,9814023.0,9787966.0,9775564.0,
104,Indonesia,IDN,196934260.0,199901228.0,202826446.0,205724592.0,208615169.0,211513823.0,214427417.0,217357793.0,220309469.0,223285676.0,226289470.0,229318262.0,232374245.0,235469762.0,238620563.0,241834215.0,245116206.0,248452413.0,251806402.0,255129004.0,258383256.0,261554226.0,264645886.0,267663435.0,
106,Isle of Man,IMN,72131.0,72878.0,73850.0,74943.0,76001.0,76941.0,77703.0,78318.0,78884.0,79520.0,80305.0,81285.0,82408.0,83508.0,84376.0,84857.0,84886.0,84533.0,83976.0,83488.0,83234.0,83287.0,83598.0,84077.0,
